NCM,DESCRICAO,ALIçQUOTA(%),,,,
,"Ex 01 - Preparaµes aliment≠cias para ces e gatos, no acondicionadas para a vendaa retalho","6,5",,,,
2309.90.90,Outras,0,,,,
,"Ex 01 - Preparaµes destinadas a fornecer a ces e gatos a totalidade dos elementosnutritivos necess°rios para uma alimentao di°ria racional e equilibrada (alimentoscompostos completos)","6,5",,,,
24.01,Tabaco no manufaturado; desperd≠cios de tabaco.,,,,,
2401.1, Tabaco no destalado,,,,,
2401.10.10,"Em folhas, sem secar nem fermentar",NT,,,,
2401.10.20,Em folhas secas ou fermentadas tipo capeiro,NT,,,,
2401.10.30,"Em folhas secas em secador de ar quente (flue cured), do tipo Virg≠nia",NT,,,,
2401.10.40,"Em folhas secas, com um contedo de ≥leos vol°teis superior a 0,2 %, em peso, dotipo turco",NT,,,,
2401.10.90,Outros,NT,,,,
2401.2, Tabaco Total ou parcialmente destalado,,,,,
2401.20.10,"Em folhas, sem secar nem fermentar",30,,,,
2401.20.20,Em folhas secas ou fermentadas tipo capeiro,30,,,,
2401.20.30,"Em folhas secas em secador de ar quente (flue cured), do tipo Virg≠nia",30,,,,
2401.20.40,"Em folhas secas (light air cured), do tipo Burley",30,,,,
2401.20.90,Outros,30,,,,
2401.30.00, desperd≠cios de Tabaco,NT,,,,
,,,,,,
24.02,"Charutos, cigarrilhas e cigarros, de tabaco ou dos seus suced¢neos.",,,,,
2402.10.00," Charutos e cigarrilhas, que contenham Tabaco",30,,,,
,Ex 01 - Cigarrillhas,300,,,,
2402.20.00, Cigarros que contenham Tabaco,300,,,,
,Ex 01 - Feitos † mo,30,,,,
2402.90.00, Outros,30,,,,
,"Ex 01 - Cigarros no contendo tabaco, exceto os feitos † mo",300,,,,
,,,,,,
24.03,"Outrosprodutosdetabacoeseussuced¢neos,manufaturados;tabaco""homogeneizado"" ou ""reconstitu≠do""; extratos e molhos de tabaco.",,,,,
2403.1,"- Tabaco para fumar, mesmo que contenha suced¢neos do tabaco em qualquer proporo:",,,,,
2403.11.00,"Tabaco para narguil (cachimbo de °gua) mencionado na Nota de subposio 1 dopresente Cap≠tulo",30,,,,
2403.19.00,Outros,30,,,,
2403.9,- Outros:,,,,,
2403.91.00,"Tabaco ""homogeneizado"" ou ""reconstitu≠do""",30,,,,
2403.99,Outros,,,,,
2403.99.10,Extratos e molhos,30,,,,
2403.99.90,Outros,30,,,,
,,,,,,
24.04,"Produtos que contenham tabaco, tabaco reconstitu≠do, nicotina ou suced¢neos dotabaco ou da nicotina, destinados † inalao sem combusto; outros produtos quecontenham nicotina destinados † absoro da nicotina pelo corpo humano.",,,,,
2404.1,- Produtos destinados † inalao sem combusto:,,,,,
2404.11.00,que contenham Tabaco ou Tabaco reconstitu≠do,30,,,,
2404.12.00,"Outros, que contenham nicotina",10,,,,
2404.19.00,Outros,30,,,,
2404.9,- Outros:,,,,,
2404.91.00,Para aplicao oral,0,,,,
2404.92.00,Para aplicao percut¢nea,10,,,,
2404.99.00,Outros,10,,,,
2501,"Sal (incluindo o sal de mesa e o sal desnaturado) e cloreto de s≥dio puro, mesmo emsoluo aquosa ou adicionados de agentes antiaglomerantes ou de agentes queassegurem uma boa fluidez; °gua do mar.",,,,,
2501.00.1,"Sal a granel, sem agregados",,,,,
2501.00.11,Sal marinho,NT,,,,
2501.00.19,Outros,NT,,,,
2501.00.20,Sal de mesa,NT,,,,
2501.00.90,Outros,NT,,,,
,Ex 01 - Cloreto de s≥dio puro,0,,,,
,,,,,,
2502.00.00,Piritas de ferro no ustuladas.,NT,,,,
,,,,,,
2503,"Enxofre de qualquer espcie, exceto o enxofre sublimado, o precipitado e o coloidal.",,,,,
2503.00.10,A granel,0,,,,
,Ex 01 - Em bruto ou no refinado,NT,,,,
2503.00.90,Outros,0,,,,
,,,,,,
25.04,Grafita natural.,,,,,
2504.10.00, em p≥ ou em escamas,NT,,,,
2504.90.00, Outra,NT,,,,
,,,,,,
25.05,"Areias naturais de qualquer espcie, mesmo coradas, exceto areias metal≠feras doCap≠tulo 26.",,,,,
2505.10.00, Areias siliciosas e Areias quartzosas,NT,,,,
2505.90.00, Outras Areias,NT,,,,
,,,,,,
25.06,"Quartzo (exceto areias naturais); quartzitos, mesmo desbastados ou simplesmentecortados, † serra ou por outro meio, em blocos ou placas de forma quadrada ouretangular.",,,,,
2506.10.00, Quartzo,NT,,,,
2506.20.00, Quartzitos,NT,,,,
,,,,,,
2507,"Caulim (caulino) e outras argilas caul≠nicas, mesmo calcinados.",,,,,
2507.00.10,Caulim (caulino),NT,,,,
2507.00.90,Outros,NT,,,,
,,,,,,
25.08,"Outras argilas (exceto argilas expandidas da posio 68.06), andaluzita, cianita,silimanita, mesmo calcinadas; mulita; barro cozido em p≥ (terra de chamotte) e terrade dinas.",,,,,
2508.10.00, Bentonita,NT,,,,
2508.30.00, Argilas refrat°rias,NT,,,,
2508.4, Outras Argilas,,,,,
2508.40.10,"Pl°sticas, com um teor de Fe2O3, em peso, inferior a 1,5 % e com perda por calcinao,em peso, superior a 12 %",NT,,,,
2508.40.90,Outras,NT,,,,
2508.50.00," Andaluzita, cianita e silimanita",NT,,,,
2508.60.00, Mulita,NT,,,,
2508.70.00, Barro cozido em p≥ (terra de chamotte) e terra de dinas,NT,,,,
,,,,,,
2509.00.00,Cr.,NT,,,,
,,,,,,
25.1,"Fosfatos de c°lcio naturais, fosfatos aluminoc°lcicos naturais e cr fosfatado.",,,,,
2510.1, no mo≠dos,,,,,
2510.10.10,Fosfatos de c°lcio naturais,NT,,,,
2510.10.90,Outros,NT,,,,
2510.2, mo≠dos,,,,,
2510.20.10,Fosfatos de c°lcio naturais,NT,,,,
2510.20.90,Outros,NT,,,,
,,,,,,
25.11,"Sulfato de b°rio natural (baritina); carbonato de b°rio natural (witherita), mesmocalcinado, exceto o ≥xido de b°rio da posio 28.16.",,,,,
2511.10.00, Sulfato de b°rio natural (baritina),NT,,,,
2511.20.00, Carbonato de b°rio natural (witherita),NT,,,,
,,,,,,
2512.00.00,"Farinhas siliciosas f≥sseis (por exemplo, kieselguhr, tripolita, diatomita) e outrasterrassiliciosasan°logasdedensidadeaparentenosuperiora1,mesmocalcinadas.",NT,,,,
,,,,,,
25.13,"Pedra-pomes; esmeril; corindo natural, granada natural e outros abrasivos naturais,mesmo tratados termicamente.",,,,,
2513.10.00, Pedra-pomes,NT,,,,
2513.20.00," Esmeril, corindo natural, granada natural e Outros abrasivos naturais",NT,,,,
,,,,,,
2514.00.00,"Ard≥sia, mesmo desbastada ou simplesmente cortada † serra ou por outro meio, emblocos ou placas de forma quadrada ou retangular.",NT,,,,
,,,,,,
25.15,"M°rmores, travertinos, granitos belgas e outras pedras calc°rias de cantaria ou deconstruo, de densidade aparente igual ou superior a 2,5, e alabastro, mesmodesbastados ou simplesmente cortados † serra ou por outro meio, em blocos ouplacas de forma quadrada ou retangular.",,,,,
2515.1,- M°rmores e travertinos:,,,,,
2515.11.00,em bruto ou desbastados,NT,,,,
2515.12,"Simplesmente cortados † serra ou por outro meio, em blocos ou placas de formaquadrada ou retangular",,,,,
2515.12.10,M°rmores,NT,,,,
2515.12.20,Travertinos,NT,,,,
2515.20.00,- Granitos belgas e outras pedras calc°rias de cantaria ou de construo; alabastro,NT,,,,
,,,,,,
25.16,"Granito, p≥rfiro, basalto, arenito (grs) e outras pedras de cantaria ou de construo,mesmo desbastados ou simplesmente cortados † serra ou por outro meio, em blocosou placas de forma quadrada ou retangular.",,,,,
2516.1,- Granito:,,,,,
2516.11.00,em bruto ou desbastado,NT,,,,
2516.12.00,"Simplesmente cortado † serra ou por outro meio, em blocos ou placas de forma quadradaou retangular",NT,,,,
2516.20.00, Arenito (grs),NT,,,,
2516.90.00, Outras pedras de cantaria ou de construo,NT,,,,
,,,,,,
25.17,"Calhaus, cascalho, pedras britadas, do tipo normalmente utilizado em concreto(beto) ou para empedramento de estradas, de vias frreas ou outros balastros,seixos rolados e s≠lex, mesmo tratados termicamente; macadame de esc≥rias dealtos-fornos, de outras esc≥rias ou de res≠duos industriais semelhantes, mesmo quecontenhammatriasinclu≠dasnaprimeirapartedotextodestaposio;tarmacadame; gr¢nulos, lascas e p≥s, das pedras das posiµes 25.15 ou 25.16,mesmo tratados termicamente.",,,,,
2517.10.00,"- Calhaus, cascalho, pedras britadas, do tipo normalmente utilizado em concreto (beto) oupara empedramento de estradas, de vias frreas ou outros balastros, seixos rolados es≠lex, mesmo tratados termicamente",NT,,,,
2517.20.00,"- Macadame de esc≥rias de altos-fornos, de outras esc≥rias ou de res≠duos industriaissemelhantes, mesmo que contenham matrias inclu≠das na subposio 2517.10",NT,,,,
2517.30.00, Tarmacadame,NT,,,,
2517.4,"- Gr¢nulos, lascas e p≥s, das pedras das posiµes 25.15 ou 25.16, mesmo tratadostermicamente:",,,,,
2517.41.00,de m°rmore,NT,,,,
2517.49.00,Outros,NT,,,,
,,,,,,
25.18,"Dolomita, mesmo sinterizada ou calcinada, incluindo a dolomita desbastada ousimplesmente cortada † serra ou por outro meio, em blocos ou placas de formaquadrada ou retangular.",,,,,
2518.10.00,"- Dolomita no calcinada nem sinterizada, denominada ""crua""",NT,,,,
2518.20.00, Dolomita calcinada ou sinterizada,NT,,,,
,,,,,,
25.19,"Carbonatodemagnsionatural(magnesita);magnsiaeletrofundida;magnsiacalcinada a fundo (sinterizada), mesmo que contenha pequenas quantidades deoutros ≥xidos adicionados antes da sinterizao; outro ≥xido de magnsio, mesmopuro.",,,,,
2519.10.00, Carbonato de magnsio natural (magnesita),NT,,,,
2519.9, Outros,,,,,
2519.90.10,Magnsia eletrofundida,NT,,,,
2519.90.90,Outros,NT,,,,
,,,,,,
25.2,"Gipsita; anidrita; gesso, mesmo corado ou adicionado de pequenas quantidades deaceleradores ou retardadores.",,,,,
2520.1,- Gipsita; anidrita,,,,,
2520.10.1,Gipsita,,,,,
2520.10.11,Em pedaos irregulares (pedras),NT,,,,
2520.10.19,Outros,NT,,,,
2520.10.20,Anidrita,NT,,,,
2520.2, Gesso,,,,,
2520.20.10,"Mo≠do, apto para uso odontol≥gico",0,,,,
2520.20.90,Outros,NT,,,,
,,,,,,
2521.00.00,Castinas; pedras calc°rias utilizadas na fabricao de cal ou de cimento.,NT,,,,
,,,,,,
25.22,"Cal viva, cal apagada e cal hidr°ulica, com excluso do ≥xido e do hidr≥xido de c°lcioda posio 28.25.",,,,,
2522.10.00, Cal viva,NT,,,,
2522.20.00, Cal apagada,NT,,,,
2522.30.00, Cal hidr°ulica,NT,,,,
,,,,,,
25.23,"Cimentoshidr°ulicos(incluindooscimentosnopulverizados,denominadosclinkers), mesmo corados.",,,,,
2523.10.00," Cimentos no pulverizados, denominados clinkers","2,6",,,,
2523.2,- Cimentos Portland:,,,,,
2523.21.00,"Cimentos brancos, mesmo corados artificialmente",0,,,,
2523.29,Outros,,,,,
2523.29.10,Cimento comum,0,,,,
2523.29.90,Outros,0,,,,
2523.30.00, Cimentos aluminosos,"2,6",,,,
2523.90.00, Outros Cimentos hidr°ulicos,"2,6",,,,
,,,,,,
25.24,Amianto.,,,,,
2524.10.00, Crocidolita,NT,,,,
2524.90.00, Outros,NT,,,,
,,,,,,
25.25,"Mica, incluindo a mica clivada em lamelas irregulares (splittings); desperd≠cios demica.",,,,,
2525.10.00, Mica em bruto ou clivada em folhas ou lamelas irregulares (splittings),NT,,,,
2525.20.00, Mica em p≥,NT,,,,
2525.30.00, desperd≠cios de Mica,NT,,,,
,,,,,,
25.26,"Esteatita natural, mesmo desbastada ou simplesmente cortada † serra ou por outromeio, em blocos ou placas de forma quadrada ou retangular; talco.",,,,,
2526.10.00, no triturados nem em p≥,NT,,,,
2526.20.00, triturados ou em p≥,NT,,,,
,,,,,,
2528.00.00,"Boratos naturais e seus concentrados (calcinados ou no), exceto boratos extra≠dosde salmouras naturais; °cido b≥rico natural com um teor m°ximo de 85 % de H3BO3,em produto seco.",NT,,,,
,,,,,,
25.29,Feldspato; leucita; nefelina e nefelina-sienito; espatoflor.,,,,,
2529.10.00, Feldspato,NT,,,,
2529.2,- Espatoflor:,,,,,
2529.21.00,"Que contenha, em peso, 97 % ou menos de fluoreto de c°lcio",NT,,,,
2529.22.00,"Que contenha, em peso, mais de 97 % de fluoreto de c°lcio",NT,,,,
2529.30.00,- Leucita; nefelina e nefelina-sienito,NT,,,,
,,,,,,
25.3,Matrias minerais no especificadas nem compreendidas noutras posiµes.,,,,,
2530.1," Vermiculita, perlita e cloritas, no expandidas",,,,,
2530.10.10,Perlita,NT,,,,
2530.10.90,Outras,NT,,,,
2530.20.00," Kieserita, epsomita (sulfatos de magnsio naturais)",NT,,,,
2530.9, Outras,,,,,
2530.90.10,Espodum™nio,NT,,,,
2530.90.20,"Areia de zirc¥nio micronizada, pr≥pria para a preparao de esmaltes cer¢micos",NT,,,,
2530.90.30,Minerais de metais das terras raras,NT,,,,
2530.90.40,Terras corantes,NT,,,,
2530.90.90,Outras,NT,,,,
26.01,"Minrios de ferro e seus concentrados, incluindo as piritas de ferro ustuladas (cinzasde piritas).",,,,,
2601.1,"- Minrios de ferro e seus concentrados, exceto as piritas de ferro ustuladas (cinzas depiritas):",,,,,
2601.11.00,No aglomerados,NT,,,,
2601.12,Aglomerados,,,,,
2601.12.10,"Aglomerados por processo de peletizao, de di¢metro igual ou superior a 8 mm, masno superior a 18 mm",NT,,,,
2601.12.90,Outros,NT,,,,
2601.20.00, piritas de ferro ustuladas (cinzas de piritas),NT,,,,
,,,,,,
2602,"Minrios de mangan™s e seus concentrados, incluindo os minrios de mangan™sferruginosos e seus concentrados, de teor de mangan™s de 20 % ou mais, em peso,sobre o produto seco.",,,,,
2602.00.10,Aglomerados,NT,,,,
2602.00.90,Outros,NT,,,,
,,,,,,
2603,Minrios de cobre e seus concentrados.,,,,,
2603.00.10,Sulfetos,NT,,,,
2603.00.90,Outros,NT,,,,
,,,,,,
2604.00.00,Minrios de n≠quel e seus concentrados.,NT,,,,
,,,,,,
2605.00.00,Minrios de cobalto e seus concentrados.,NT,,,,
,,,,,,
2606,Minrios de alum≠nio e seus concentrados.,,,,,
2606.00.1,Bauxita,,,,,
2606.00.11,No calcinada,NT,,,,
2606.00.12,Calcinada,NT,,,,
2606.00.90,Outros,NT,,,,
,,,,,,
2607.00.00,Minrios de chumbo e seus concentrados.,NT,,,,
,,,,,,
2608,Minrios de zinco e seus concentrados.,,,,,
2608.00.10,Sulfetos,NT,,,,
2608.00.90,Outros,NT,,,,
,,,,,,
2609.00.00,Minrios de estanho e seus concentrados.,NT,,,,
,,,,,,
2610,Minrios de cromo e seus concentrados.,,,,,
2610.00.10,Cromita,NT,,,,
2610.00.90,Outros,NT,,,,
,,,,,,
2611.00.00,Minrios de tungst™nio (volfr¢mio) e seus concentrados.,NT,,,,
,,,,,,
26.12,"Minrios de ur¢nio ou de t≥rio, e seus concentrados.",,,,,
2612.10.00,- Minrios de ur¢nio e seus concentrados,NT,,,,
2612.20.00, Minrios de t≥rio e seus concentrados,NT,,,,
,,,,,,
26.13,Minrios de molibd™nio e seus concentrados.,,,,,
2613.1, Ustulados,,,,,
2613.10.10,Molibdenita,NT,,,,
2613.10.90,Outros,NT,,,,
2613.9, Outros,,,,,
2613.90.10,Molibdenita,NT,,,,
2613.90.90,Outros,NT,,,,
,,,,,,
2614,Minrios de tit¢nio e seus concentrados.,,,,,
2614.00.10,Ilmenita,NT,,,,
2614.00.90,Outros,NT,,,,
,,,,,,
26.15,"Minrios de ni≥bio (col¥mbio), t¢ntalo, van°dio ou de zirc¥nio, e seus concentrados.",,,,,
2615.1, Minrios de zirc¥nio e seus concentrados,,,,,
2615.10.10,Badele≠ta,NT,,,,
2615.10.20,Zirconita,NT,,,,
2615.10.90,Outros,NT,,,,
2615.90.00, Outros,NT,,,,
,,,,,,
26.16,Minrios de metais preciosos e seus concentrados.,,,,,
2616.10.00, Minrios de prata e seus concentrados,NT,,,,
2616.90.00, Outros,NT,,,,
,,,,,,
26.17,Outros minrios e seus concentrados.,,,,,
2617.10.00, Minrios de antim¥nio e seus concentrados,NT,,,,
2617.90.00, Outros,NT,,,,
,,,,,,
2618.00.00,"Esc≥ria de altos-fornos granulada (areia de esc≥ria) proveniente da fabricao deferro fundido, ferro ou ao.",NT,,,,
,,,,,,
2619.00.00,"Esc≥rias(excetoesc≥riadealtos-fornosgranulada)eoutrosdesperd≠ciosdafabricao de ferro fundido, ferro ou ao.",NT,,,,
,,,,,,
26.2,"Esc≥rias, cinzas e res≠duos (exceto os provenientes da fabricao de ferro fundido,ferro ou ao), que contenham metais, ars™nio, ou os seus compostos.",,,,,
2620.1,- Que contenham principalmente zinco:,,,,,
2620.11.00,Mates de galvanizao,NT,,,,
2620.19.00,Outros,NT,,,,
2620.2,- Que contenham principalmente chumbo:,,,,,
2620.21.00,"Lamas (borras) de gasolina que contenham chumbo e lamas (borras) de compostosantidetonantes que contenham chumbo",NT,,,,
2620.29.00,Outros,NT,,,,
2620.30.00, que contenham principalmente cobre,NT,,,,
2620.40.00, que contenham principalmente alum≠nio,NT,,,,
2620.60.00,"- Que contenham ars™nio, mercrio, t°lio ou suas misturas, do tipo utilizado para extraode ars™nio ou destes metais ou para fabricao dos seus compostos qu≠micos",NT,,,,
2620.9,- Outros:,,,,,
2620.91.00,"que contenham antim¥nio, ber≠lio, c°dmio, cromo ou suas Misturas",NT,,,,
2620.99,Outros,,,,,
2620.99.10,Que contenham principalmente tit¢nio,NT,,,,
2620.99.90,Outros,NT,,,,
,,,,,,
26.21,"Outrasesc≥riasecinzas,incluindoascinzasdealgas;cinzaseres≠duosprovenientes da incinerao de res≠duos municipais.",,,,,
2621.10.00, cinzas e Res≠duos provenientes da incinerao de Res≠duos municipais,NT,,,,
2621.9, Outras,,,,,
2621.90.10,Cinzas de origem vegetal,NT,,,,
2621.90.90,Outras,NT,,,,
27.01,"Hulhas;briquetes,bolasemaglomeradosecombust≠veiss≥lidossemelhantes,obtidos a partir da hulha.",,,,,
2701.1,"- Hulhas, mesmo em p≥, mas no aglomeradas:",,,,,
2701.11.00,Antracita,NT,,,,
2701.12.00,Hulha betuminosa,NT,,,,
2701.19.00,Outras Hulhas,NT,,,,
2701.20.00,"- Briquetes, bolas em aglomerados e combust≠veis s≥lidos semelhantes, obtidos a partir dahulha",NT,,,,
,,,,,,
27.02,"Linhitas, mesmo aglomeradas, exceto azeviche.",,,,,
2702.10.00," Linhitas, mesmo em p≥, mas no aglomeradas",NT,,,,
2702.20.00, Linhitas aglomeradas,NT,,,,
,,,,,,
2703.00.00,"Turfa (incluindo a turfa para cama de animais), mesmo aglomerada.",NT,,,,
,,,,,,
2704,"Coques e semicoques, de hulha, de linhita ou de turfa, mesmo aglomerados; carvode retorta.",,,,,
2704.00.1,Coques,,,,,
2704.00.11,Com granulometria igual ou superior a 80 mm,NT,,,,
2704.00.12,Com granulometria inferior a 80 mm,NT,,,,
2704.00.90,Outros,NT,,,,
,,,,,,
2705.00.00,"G°s de hulha, g°s de °gua, g°s pobre (g°s de ar) e gases semelhantes, exceto gasesde petr≥leo e outros hidrocarbonetos gasosos.",NT,,,,
,,,,,,
2706.00.00,"Alcatrµesdehulha,delinhitaoudeturfaeoutrosalcatrµesminerais,mesmodesidratados ou parcialmente destilados, incluindo os alcatrµes reconstitu≠dos.",NT,,,,
,,,,,,
27.07,"ìleos e outros produtos provenientes da destilao dos alcatrµes de hulha a altatemperatura; produtos an°logos em que os constituintes arom°ticos predominem,em peso, relativamente aos constituintes no arom°ticos.",,,,,
2707.10.00, Benzol (benzeno),0,,,,
2707.20.00, Toluol (tolueno),0,,,,
2707.30.00, Xilol (xilenos),0,,,,
2707.40.00, Naftaleno,0,,,,
2707.5,"- Outras misturas de hidrocarbonetos arom°ticos que destilem (incluindo as perdas) umafrao igual ou superior a 65 %, em volume, a 250 ¬∞C, segundo o mtodo ISO 3405(equivalente ao mtodo ASTM D 86)",,,,,
2707.50.10,"Misturasquecontenhamtrimetilbenzenoseetiltoluenos,comocomponentesmajorit°rios",0,,,,
2707.50.90,Outras,0,,,,
2707.9,- Outros:,,,,,
2707.91.00,ìleos de creosoto,0,,,,
2707.99,Outros,,,,,
2707.99.10,Cres≥is,0,,,,
2707.99.90,Outros,0,,,,
,,,,,,
27.08,"Breu e coque de breu obtidos a partir do alcatro de hulha ou de outros alcatrµesminerais.",,,,,
2708.10.00, Breu,"3,25",,,,
2708.20.00, Coque de Breu,"3,25",,,,
,,,,,,
2709,ìleos brutos de petr≥leo ou de minerais betuminosos.,,,,,
2709.00.10,De petr≥leo,NT,,,,
2709.00.90,Outros,NT,,,,
,,,,,,
27.1,"ìleos de petr≥leo ou de minerais betuminosos, exceto ≥leos brutos; preparaµes noespecificadasnemcompreendidasnoutrasposiµes,quecontenham,comoconstituintes b°sicos, 70 % ou mais, em peso, de ≥leos de petr≥leo ou de mineraisbetuminosos; res≠duos de ≥leos.",,,,,
